epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,616.884,0.69569,1.43312,1.13587,0.31174,0.51377,0.30914,0.24056,0.68971,1.86464,0.89309,0.0667784,3.32549e-05,3.32549e-05
2,1239.87,0.604,1.14855,1.09118,0.49491,0.65435,0.54625,0.43862,0.62325,1.3129,0.85505,0.033477,6.52698e-05,6.52698e-05
3,1840.1,0.57508,1.06536,1.07821,0.49413,0.7406,0.62376,0.54557,0.4424,1.08277,0.72597,0.000174396,9.59647e-05,9.59647e-05
4,2489.67,0.55807,1.01806,1.07151,0.57804,0.70601,0.65832,0.56111,0.48582,0.98175,0.76088,9.406e-05,9.406e-05,9.406e-05
5,3147.74,inf,0.97808,1.06637,0.5697,0.73123,0.67921,0.60133,0.42004,1.03166,0.71744,9.208e-05,9.208e-05,9.208e-05
6,3834.01,0.53258,0.9469,1.05979,0.56711,0.73812,0.67136,0.59944,0.40602,0.97379,0.70287,9.01e-05,9.01e-05,9.01e-05
7,4481.27,0.52059,0.92484,1.05508,0.59919,0.73399,0.69287,0.6266,0.36987,0.89174,0.67999,8.812e-05,8.812e-05,8.812e-05
8,5273.65,0.51161,0.89909,1.0475,0.6049,0.74883,0.71346,0.64603,0.40984,0.88158,0.69277,8.614e-05,8.614e-05,8.614e-05
9,6041.83,0.50142,0.88146,1.04523,0.61583,0.75068,0.71214,0.63991,0.38168,0.8739,0.69124,8.416e-05,8.416e-05,8.416e-05
10,6776.4,0.49731,0.856,1.04223,0.59929,0.74774,0.70123,0.63772,0.36217,0.96737,0.68536,8.218e-05,8.218e-05,8.218e-05
11,7455.98,0.4899,0.8444,1.03853,0.62746,0.7466,0.71425,0.65228,0.34853,0.86479,0.67538,8.02e-05,8.02e-05,8.02e-05
12,8117.84,0.48493,0.83247,1.03764,0.63634,0.72719,0.71121,0.64732,0.35052,0.85256,0.66596,7.822e-05,7.822e-05,7.822e-05
13,8812.4,0.48131,0.81304,1.03443,0.63164,0.73782,0.70702,0.64521,0.35977,0.91963,0.67312,7.624e-05,7.624e-05,7.624e-05
